iter	Passed	Remaining
0	6	6647
1	8	4024
2	9	3213
3	13	3418
4	16	3368
5	19	3258
6	21	3023
7	22	2826
8	24	2676
9	25	2553
10	30	2717
11	32	2697
12	34	2615
13	37	2657
14	39	2569
15	40	2492
16	42	2431
17	43	2368
18	45	2324
19	46	2285
20	47	2232
21	49	2179
22	51	2173
23	53	2164
24	54	2122
25	55	2080
26	57	2056
27	58	2026
28	60	2037
29	62	2021
30	64	2021
31	66	2011
32	68	2013
33	71	2026
34	72	2008
35	75	2014
36	77	2004
37	80	2026
38	81	2019
39	83	2012
40	87	2045
41	92	2104
42	94	2105
43	96	2086
44	97	2070
45	99	2058
46	100	2046
47	105	2093
48	107	2091
49	109	2084
50	111	2071
51	114	2087
52	117	2092
53	123	2162
54	130	2240
55	132	2230
56	133	2211
57	136	2212
58	140	2243
59	143	2243
60	144	2231
61	146	2223
62	150	2243
63	166	2434
64	169	2441
65	171	2428
66	174	2426
67	181	2492
68	188	2547
69	191	2549
70	197	2587
71	201	2599
72	205	2614
73	210	2633
74	215	2655
75	217	2644
76	219	2634
77	225	2665
78	229	2670
79	230	2654
80	232	2640
81	235	2632
82	237	2620
83	238	2605
84	241	2594
85	242	2578
86	244	2562
87	248	2576
88	250	2562
89	252	2555
90	255	2548
91	256	2534
92	258	2523
93	261	2518
94	266	2534
95	268	2530
96	269	2511
97	270	2492
98	272	2476
99	273	2461
100	275	2449
101	277	2439
102	278	2426
103	281	2422
104	282	2410
105	284	2398
106	285	2385
107	286	2370
108	288	2354
109	290	2349
110	292	2345
111	294	2335
112	296	2326
113	297	2314
114	299	2302
115	300	2289
116	301	2276
117	303	2265
118	305	2259
119	306	2249
120	307	2236
121	311	2242
122	315	2247
123	316	2238
124	322	2254
125	327	2272
126	329	2264
127	331	2258
128	333	2252
129	335	2243
130	336	2232
131	338	2224
132	339	2216
133	342	2211
134	348	2229
135	349	2220
136	353	2228
137	355	2223
138	357	2217
139	361	2218
140	363	2212
141	367	2219
142	371	2228
143	379	2258
144	385	2274
145	386	2261
146	389	2261
147	393	2262
148	395	2256
149	398	2258
150	401	2259
151	404	2258
152	408	2261
153	410	2254
154	412	2247
155	414	2241
156	418	2246
157	422	2253
158	424	2247
159	426	2240
160	428	2233
161	430	2227
162	432	2220
163	435	2220
164	438	2220
165	440	2214
166	444	2218
167	447	2215
168	449	2208
169	452	2208
170	454	2202
171	455	2193
172	456	2181
173	457	2172
174	458	2163
175	460	2157
176	462	2150
177	463	2142
178	465	2135
179	467	2128
180	468	2121
181	470	2114
182	473	2114
183	475	2109
184	477	2105
185	479	2098
186	480	2090
187	482	2084
188	484	2078
189	486	2071
190	497	2106
191	499	2101
192	503	2104
193	507	2106
194	508	2099
195	509	2090
196	510	2082
197	511	2073
198	513	2066
